Activation,Adam,Adamax,Nadam,RMSprop
hard_sigmoid,0.05127695,,,0.06738586
relu,0.04516926,0.05363089,0.04155885,0.08787014
sigmoid,0.11432598,,0.03078183,
swish,0.05674136,0.053608,0.04420672,
tanh,0.03343212,0.02811468,0.03805204,0.05078906
