Activation,Adam,Adamax,Nadam,RMSprop
hard_sigmoid,314.22840622,,,314.73834478
relu,163.74954825,163.89591615,163.78894109,163.67401518
sigmoid,769.76761836,,740.97867727,819.01373329
swish,1066.6928081,,1034.40224069,
tanh,1095.18504,1199.1290206,163.6942537,1158.60028912
