Activation,Adam,Adamax,Nadam,RMSprop
relu,0.06910252,0.07557162,0.05243826,
sigmoid,0.0559788,,0.03764004,
swish,0.05089507,0.07885556,0.07225274,
tanh,0.04853391,0.05022648,0.04992772,0.0739429
