Activation,Adam,Adamax,Nadam,RMSprop
relu,164.15034333,163.54282617,163.83556198,
sigmoid,759.35634261,,848.56812432,
swish,1040.7426816,1095.14745211,1068.72135887,
tanh,1130.9194073,1246.31189013,1195.25984821,1147.3230936
