Activation,Adam,Adamax,Nadam,RMSprop
relu,0.13639561,0.22800747,0.13551259,
sigmoid,0.18565595,,0.16124684,
swish,0.19484881,0.30997832,0.25240332,
tanh,0.07732683,0.14761595,0.09844718,0.11371281
