Activation,Adam,Adamax,Nadam,RMSprop
hard_sigmoid,642.14853632,,,631.66714854
relu,514.15684857,514.02240694,514.33501988,514.05674015
sigmoid,769.74376581,,626.26563065,
swish,678.17925551,678.47054572,678.17311167,
tanh,631.47379834,692.00108421,694.02421395,694.3874232
