Activation,Adam,Adamax,Nadam,RMSprop
hard_sigmoid,0.31516323,,,0.27622576
relu,0.12053488,0.18335502,0.11877485,0.13228888
sigmoid,0.11432598,,0.2037634,0.17362125
swish,0.21238887,,0.22206602,
tanh,0.09087,0.10429225,0.11863149,0.10173473
