Fx,Fy,Fz,Tx,Ty,r,z
1.7E-01,-9.3E-12,0.847,1.6E-10,2.8E+00,5,5
1.6E-01,-7.3E-12,0.781,3.1E-10,2.4E+00,5,6
1.5E-01,-3.0E-11,0.721,3.7E-10,2.1E+00,5,7
1.3E-01,3.6E-12,0.666,7.4E-10,1.8E+00,5,8
1.2E-01,-7.6E-12,0.615,-2.0E-10,1.6E+00,5,9
1.1E-01,-1.8E-11,0.569,-1.6E-10,1.4E+00,5,10
1.0E-01,3.6E-12,0.527,-4.6E-10,1.2E+00,5,11
9.5E-02,5.3E-12,0.488,-1.5E-10,1.0E+00,5,12
8.7E-02,1.3E-11,0.452,5.4E-10,9.0E-01,5,13
8.0E-02,1.0E-11,0.420,-3.3E-10,7.8E-01,5,14
7.3E-02,-2.1E-12,0.390,-5.7E-10,6.7E-01,5,15
3.1E-01,3.9E-12,1.253,-5.6E-10,6.5E+00,6,0
2.9E-01,1.3E-11,1.153,2.3E-10,5.7E+00,6,1
2.7E-01,2.4E-11,1.062,-6.0E-10,4.9E+00,6,2
2.5E-01,4.3E-12,0.978,1.9E-11,4.3E+00,6,3
2.3E-01,4.0E-12,0.901,1.0E-09,3.7E+00,6,4
2.1E-01,7.7E-12,0.830,1.6E-10,3.3E+00,6,5
1.9E-01,-9.9E-12,0.766,5.9E-10,2.8E+00,6,6
1.7E-01,1.3E-11,0.707,-6.7E-10,2.5E+00,6,7
1.6E-01,-5.4E-12,0.653,3.9E-10,2.1E+00,6,8
1.5E-01,-5.8E-12,0.603,3.1E-11,1.9E+00,6,9
1.3E-01,-7.5E-12,0.558,7.2E-10,1.6E+00,6,10
1.2E-01,1.4E-12,0.517,-2.3E-11,1.4E+00,6,11
1.1E-01,1.2E-11,0.479,-4.0E-10,1.2E+00,6,12
1.0E-01,2.4E-13,0.444,5.7E-10,1.0E+00,6,13
9.5E-02,-2.0E-12,0.412,9.8E-10,9.1E-01,6,14
8.7E-02,6.1E-12,0.383,-3.8E-10,7.8E-01,6,15
3.6E-01,-2.3E-11,1.227,-3.8E-10,7.4E+00,7,0
3.4E-01,6.9E-12,1.129,-2.5E-10,6.4E+00,7,1
3.1E-01,2.7E-12,1.038,2.8E-10,5.6E+00,7,2
2.8E-01,2.1E-11,0.956,2.3E-11,4.9E+00,7,3
2.6E-01,-2.3E-11,0.880,4.2E-10,4.2E+00,7,4
2.4E-01,-3.0E-11,0.811,-1.4E-10,3.7E+00,7,5
2.2E-01,2.9E-12,0.748,4.5E-10,3.2E+00,7,6
2.0E-01,1.6E-11,0.690,2.5E-10,2.8E+00,7,7
1.8E-01,1.0E-11,0.638,4.3E-10,2.4E+00,7,8
1.7E-01,-1.9E-11,0.589,2.8E-11,2.1E+00,7,9
1.5E-01,-1.1E-11,0.545,-2.3E-10,1.8E+00,7,10
1.4E-01,-3.5E-12,0.505,5.2E-12,1.6E+00,7,11
1.3E-01,-1.4E-12,0.468,-4.0E-11,1.4E+00,7,12
1.2E-01,-1.4E-11,0.434,-2.9E-11,1.2E+00,7,13
1.1E-01,3.1E-12,0.403,-9.1E-11,1.0E+00,7,14
1.0E-01,5.8E-13,0.375,1.5E-11,8.8E-01,7,15
4.1E-01,-8.6E-11,1.197,-5.8E-10,8.2E+00,8,0
3.8E-01,3.2E-11,1.100,-2.3E-09,7.1E+00,8,1
3.5E-01,-1.4E-10,1.011,8.3E-09,6.2E+00,8,2
3.2E-01,1.1E-10,0.930,-2.0E-09,5.4E+00,8,3
3.0E-01,7.5E-11,0.856,-2.5E-09,4.7E+00,8,4
2.7E-01,-7.1E-11,0.789,2.1E-09,4.0E+00,8,5
2.5E-01,5.4E-11,0.727,-4.9E-09,3.5E+00,8,6
2.3E-01,-9.6E-11,0.671,-2.7E-09,3.1E+00,8,7
2.1E-01,1.4E-11,0.620,-6.4E-10,2.6E+00,8,8
1.9E-01,6.9E-11,0.574,2.9E-09,2.3E+00,8,9
1.7E-01,-1.1E-11,0.531,-2.9E-09,2.0E+00,8,10
1.6E-01,-3.3E-11,0.492,4.5E-10,1.7E+00,8,11
1.5E-01,2.7E-11,0.456,7.0E-09,1.5E+00,8,12
1.3E-01,-3.1E-11,0.423,2.3E-09,1.3E+00,8,13
1.2E-01,3.3E-11,0.393,9.9E-09,1.1E+00,8,14
1.1E-01,-4.5E-11,0.366,2.9E-09,9.7E-01,8,15
4.6E-01,7.5E-12,1.162,6.4E-10,8.8E+00,9,0
4.3E-01,-8.6E-12,1.066,-3.9E-10,7.7E+00,9,1
3.9E-01,1.3E-11,0.979,8.3E-10,6.7E+00,9,2
3.6E-01,-5.8E-11,0.901,2.9E-10,5.8E+00,9,3
3.3E-01,4.2E-12,0.829,-2.5E-10,5.0E+00,9,4
3.0E-01,2.2E-11,0.764,4.0E-10,4.4E+00,9,5
2.8E-01,-7.2E-12,0.704,-2.9E-11,3.8E+00,9,6
2.5E-01,1.9E-11,0.650,-8.5E-11,3.3E+00,9,7
2.3E-01,1.5E-11,0.601,-5.4E-11,2.8E+00,9,8
2.1E-01,-1.9E-11,0.556,-2.0E-10,2.5E+00,9,9
1.9E-01,2.4E-12,0.515,2.9E-10,2.1E+00,9,10
1.8E-01,4.1E-12,0.477,9.7E-10,1.9E+00,9,11
1.6E-01,-6.9E-12,0.443,3.1E-10,1.6E+00,9,12
1.5E-01,-3.1E-11,0.411,1.1E-09,1.4E+00,9,13
