x,y,z,runtime
-10.07,-5.09,-0.02,975
-0.01,10.02,4.99,1067
-0.04,0.00,0.00,972
-10.06,-0.05,5.01,1070
10.02,-0.07,10.02,1072
-0.01,-9.98,10.02,969
-0.05,-10.00,-0.00,870
-0.05,-0.00,0.00,972
-9.99,10.03,-0.00,872
10.03,-9.95,14.96,965
-5.05,5.06,9.98,1527
9.99,-9.99,0.01,970
10.02,0.02,0.01,1069
-0.01,-9.97,10.03,970
10.02,0.00,0.02,1066
9.80,10.11,14.99,966
0.01,-10.03,0.02,1067
-0.01,10.04,5.00,1068
-9.99,10.03,-0.00,862
-10.01,10.00,10.04,1521
-10.03,0.00,5.03,1069
-5.08,0.04,-0.01,871
-9.98,10.02,0.00,969
-0.03,-9.97,0.03,967
-10.06,0.01,0.08,1065
10.00,10.01,-0.00,871
-10.02,-10.01,0.00,973
10.03,0.02,0.01,1066
-0.05,-10.03,9.97,1068
-10.01,-10.02,-0.00,873
10.05,-10.02,14.95,971
9.98,-9.98,0.01,973
-10.03,0.02,5.01,1634
0.03,-5.04,14.97,964
-9.89,-5.11,-0.07,872
-0.05,10.00,4.96,1520
10.00,10.03,-0.01,872
-10.00,10.03,5.01,1532
-0.02,9.98,4.98,1532
10.00,10.00,-0.00,869
15.03,10.02,-0.00,870
10.02,10.00,5.01,1527
-10.06,-9.96,4.99,1531
9.98,0.02,10.00,966
-0.02,-9.96,0.01,969
-0.01,-10.03,5.01,1069
9.99,-9.96,4.99,1520
0.04,-5.02,0.02,973
-15.10,0.00,5.03,1628
-10.03,0.01,5.01,1076
9.97,-9.98,0.01,969
-4.96,-4.99,5.02,1531
-10.01,10.03,5.01,1523
9.98,10.04,0.01,972
-4.96,-15.01,-0.05,873
9.98,-9.98,0.01,971
4.96,-4.96,14.99,967
10.00,-10.01,10.00,1518
0.01,-10.03,0.02,1066
10.00,-10.00,5.00,1521
-10.01,-9.99,5.01,1531
5.00,-14.96,0.02,1070
-0.06,9.99,15.00,970
-0.05,-10.00,0.00,1068
0.01,-20.00,0.01,1067
10.01,10.00,4.99,1521
0.02,10.00,0.01,1064
-10.01,-10.01,0.00,969
10.00,10.00,-0.00,870
-0.02,-10.03,0.04,1069
-0.01,10.03,4.99,1063
9.95,-9.99,0.01,972
9.97,0.01,4.99,1525
0.01,0.10,5.07,962
-0.02,-10.03,0.03,1071
0.01,4.99,0.01,974
-0.03,-9.94,5.06,1520
-10.03,-9.98,15.03,870
0.02,-5.03,0.03,970
-0.00,10.00,9.99,970
-10.02,0.02,5.02,1067
10.03,0.02,0.01,1068
