x,y,z,runtime
-9.97,9.99,4.98,1634
15.01,-0.02,-0.01,869
10.00,-9.97,-0.01,866
-15.00,-0.03,-0.03,870
-10.00,9.97,5.02,1530
-10.01,-9.98,0.00,970
-10.03,0.02,15.00,868
-0.02,14.93,5.00,1618
19.99,-0.04,-0.02,870
-14.97,9.98,0.00,1630
10.00,9.99,0.01,967
10.00,15.01,-0.00,870
-9.99,-10.00,0.00,970
-15.01,-0.01,-0.02,870
4.88,0.01,-0.00,857
-9.98,-10.00,-0.01,870
-9.98,0.00,-0.00,870
-4.96,-0.04,-0.00,867
5.05,10.00,0.01,967
10.03,-10.02,0.00,970
0.01,-15.02,10.01,2183
0.02,9.96,5.02,1530
-14.99,9.94,-0.02,872
-10.01,-10.01,-0.00,871
0.03,-0.04,0.00,967
-9.97,9.99,4.99,1531
-9.99,-10.00,0.00,969
-9.98,-10.01,-0.00,868
-4.86,4.87,-0.02,868
-9.98,0.01,4.99,1522
-10.05,10.02,10.00,1532
5.08,-5.03,9.99,1527
-0.02,-0.03,9.97,961
-9.99,-10.00,0.00,969
0.01,-9.98,-0.00,868
0.03,9.97,5.01,1529
9.97,-10.05,14.94,968
-9.98,9.96,4.99,1533
-9.94,-0.04,-0.01,870
-0.11,10.11,5.09,1063
-15.05,-0.02,-0.02,871
-9.95,-0.04,-0.01,870
-9.96,9.93,15.02,867
10.04,-10.01,-0.00,870
-0.01,-9.99,0.00,962
-0.07,0.00,15.02,860
-10.00,0.02,-0.01,868
9.99,-0.02,-0.00,867
10.01,10.01,0.01,970
0.01,10.04,0.01,1066
-0.00,9.99,0.00,970
-10.00,-10.00,-0.00,869
8.43,-10.31,0.10,968
10.02,-9.99,-0.02,869
-0.01,-0.01,0.00,969
0.01,-10.00,4.99,1064
-9.99,-10.29,14.89,967
-9.96,-9.99,15.04,865
-9.84,4.92,0.04,972
-9.98,0.00,-0.00,868
-10.11,-10.05,10.00,1524
0.02,19.97,-0.01,871
10.02,9.94,9.97,1529
-10.00,9.99,4.98,1523
-0.01,-9.98,0.01,963
-0.00,9.99,0.01,969
0.00,10.00,0.01,1073
-9.99,-9.99,0.00,972
10.01,-9.98,-0.01,870
10.03,-10.01,-0.01,869
-10.00,-10.01,0.00,971
9.96,-10.06,4.99,1522
10.01,-0.01,0.01,1625
9.95,-0.01,0.02,971
-0.01,-0.02,-0.00,867
0.36,-10.00,0.02,969
10.01,9.99,-0.01,867
9.99,15.04,0.01,1064
0.02,-5.02,-0.00,869
-9.99,-10.00,0.00,960
0.00,4.99,0.01,966
-9.95,-9.97,10.02,1530
10.01,-10.01,0.00,971
0.01,-0.03,-0.01,865
0.04,19.97,-0.02,872
0.02,-10.02,5.03,1072
10.01,-10.01,-0.02,870
0.01,10.01,0.00,1067
4.95,-0.03,0.00,965
0.06,4.95,0.01,969
9.99,0.01,0.00,969
-4.95,-0.05,-0.01,869
10.01,9.98,-0.00,868
0.36,-10.00,0.02,969
0.00,-5.02,0.01,965
10.00,-9.99,4.99,1525
-4.96,15.04,-0.00,861
9.98,-0.01,0.00,968
-10.00,9.97,0.00,971
-10.02,-5.05,0.02,972
-10.00,0.03,5.00,1526
-0.01,9.99,-0.01,862
-10.04,0.09,9.99,1063
-9.98,-5.05,-0.00,868
0.14,-9.99,0.03,968
4.96,-0.01,0.00,966
14.95,5.00,-0.04,868
9.98,9.86,14.99,967
10.04,-10.01,0.00,969
5.05,15.07,0.01,1063
-15.03,-10.00,-0.00,873
-9.99,-10.00,0.00,971
10.04,9.94,5.00,1527
-10.01,-9.97,4.99,1523
10.00,-0.03,4.99,1064
9.99,-0.06,9.98,967
-9.95,-0.02,15.04,867
-9.98,0.00,4.99,1522
-9.99,9.98,0.01,971
10.01,-0.02,0.01,1062
-9.99,-9.99,-0.00,867
9.99,-10.00,9.98,1520
10.00,-0.00,0.00,1063
10.01,0.02,4.98,1065
-4.96,-0.06,-0.00,869
4.97,-5.07,-0.01,869
-10.01,-10.00,4.99,1532
-10.00,9.98,-0.00,871
10.00,9.97,10.00,1523
-10.00,9.99,0.00,971
-10.02,9.99,-0.00,871
-0.11,-10.02,-0.01,868
-0.03,-9.98,0.00,969
9.99,15.03,0.01,1070
10.01,9.98,-0.00,868
0.03,10.05,-0.03,870
0.02,9.97,0.01,961
-10.01,10.00,0.00,964
10.04,-10.01,-0.00,869
10.01,-10.00,-0.01,869
0.04,-10.02,0.01,1628
-10.03,-10.04,5.01,1519
0.01,-0.03,-0.00,866
9.95,-5.01,0.01,970
-9.98,-10.01,-0.00,866
-0.00,-10.01,15.02,868
0.73,-9.98,0.06,968
-9.98,-0.01,-0.01,868
0.89,-9.99,0.00,966
-10.02,9.99,-0.00,871
-0.00,-0.02,-0.00,867
4.92,-0.14,14.92,954
0.03,-10.01,0.01,1064
10.03,0.01,4.98,1063
9.99,10.05,4.95,1527
10.02,9.92,9.98,1530
0.01,4.97,0.00,966
10.03,-9.99,9.97,1522
-9.99,-10.00,0.00,969
-4.96,15.04,0.01,1064
-9.98,14.97,-0.01,870
-0.01,-10.04,4.96,1059
4.97,-0.10,0.03,969
-9.90,9.94,15.00,866
-9.99,-9.98,4.99,1531
10.00,9.99,0.01,970
0.02,-0.03,-0.01,865
-9.98,-10.02,10.03,1530
0.03,-0.02,5.00,965
9.98,0.01,-0.00,867
9.99,-0.01,-0.00,857
-10.01,-10.02,-0.00,870
-10.00,9.99,-0.00,870
9.98,-0.02,0.02,969
-0.05,-10.00,0.02,968
10.02,-10.02,0.01,971
10.01,-9.98,-0.02,867
-0.22,9.98,14.95,970
-9.99,9.95,15.06,869
4.99,-0.03,0.01,968
-4.92,4.99,-0.00,869
10.04,-10.02,-0.00,869
0.02,4.97,0.00,968
-0.04,-10.00,0.01,1063
-9.97,-0.00,-0.00,870
-14.96,14.99,0.00,871
-9.96,-0.00,4.98,1524
10.01,-10.02,4.98,1532
10.03,-10.01,0.00,970
-9.99,-10.00,-0.00,871
-9.98,0.03,5.00,1523
-0.00,9.99,0.00,970
10.02,-10.00,-0.03,865
-9.99,-9.99,0.00,971
0.01,4.97,-0.00,862
-9.99,9.97,0.00,972
8.99,-10.23,0.05,966
-10.00,9.98,0.01,972
10.03,-10.01,0.00,970
10.05,-9.97,9.97,1529
0.01,-0.03,0.00,966
-0.01,-10.01,9.98,1066
-10.00,-9.99,0.00,973
-9.99,-9.99,-0.00,871
0.02,-5.02,-0.00,868
10.01,9.97,-0.01,867
-5.01,15.02,-0.00,869
0.00,-9.95,0.01,969
-0.05,-9.98,-0.04,861
0.04,-10.02,4.99,1063
0.02,10.01,-0.01,868
4.97,-0.05,0.01,966
-9.96,4.96,-0.02,871
0.01,-20.03,-0.00,871
10.03,-10.02,0.00,970
-9.97,-0.02,0.00,970
-9.98,0.00,-0.01,862
-10.00,9.99,0.00,972
-9.97,0.00,4.99,1530
0.01,-0.03,-0.00,866
5.03,-14.96,-0.02,870
10.00,-10.00,-0.02,868
0.00,-5.03,0.01,966
-10.01,9.97,0.00,972
-4.94,-0.06,-0.00,874
0.01,-0.03,-0.00,865
-10.02,9.99,-0.01,870
9.94,-5.08,0.02,969
0.62,-10.00,0.02,968
0.01,-0.03,-0.01,855
0.03,10.02,-0.01,864
0.02,-10.01,10.03,1061
9.99,-0.02,-0.00,867
-9.98,-0.00,-0.01,859
0.05,14.95,0.02,1064
10.02,-10.02,0.01,970
10.00,-9.99,-0.01,867
0.01,-10.03,4.98,1057
-10.00,-14.95,0.00,1626
-14.98,15.00,0.00,871
0.03,-10.01,0.01,1059
5.02,-4.91,0.01,970
-5.01,-14.97,0.02,1066
0.03,10.01,-0.01,868
9.99,10.01,4.99,1521
-9.98,-0.00,-0.01,867
10.02,-10.01,4.98,1520
-9.96,-10.01,9.98,1522
-10.02,9.99,-0.00,872
9.98,10.03,4.97,1523
-0.01,-0.01,0.00,968
-0.07,-10.02,-0.01,866
-9.99,9.98,-0.00,870
-9.97,-10.00,9.99,1524
-10.02,10.02,9.97,1529
-0.00,4.98,0.01,970
0.03,-10.01,0.01,1062
-15.00,0.04,5.04,1068
10.00,-0.03,-0.00,867
10.01,10.01,-0.00,869
-0.01,9.97,5.05,1529
0.01,-0.03,-0.00,865
-9.99,-10.07,5.00,1520
10.01,-10.01,0.00,968
10.01,-9.99,-0.00,869
-0.01,4.97,0.01,969
0.03,9.92,5.00,1522
-9.99,0.01,-0.00,868
9.96,-0.02,0.02,970
0.03,9.99,4.98,1520
-9.98,-0.00,0.00,971
0.00,4.99,0.01,970
-4.99,-14.96,0.01,1068
0.03,-0.02,5.00,963
-4.96,-5.05,4.99,1524
10.02,0.02,4.97,1064
7.47,0.00,0.01,964
-9.99,-0.07,5.01,1532
10.04,-10.02,-0.00,869
-0.01,15.01,-0.02,870
-10.00,-10.00,0.01,969
9.99,-0.01,-0.00,866
-9.99,-0.00,-0.00,871
-9.99,-0.05,9.99,970
-10.00,-10.01,-0.01,868
-10.02,9.99,-0.00,871
-5.01,15.02,-0.00,863
5.01,-14.96,-0.03,870
0.01,-0.02,-0.00,864
9.98,9.98,9.99,1521
-10.00,-10.00,4.98,1523
-0.00,9.99,0.00,967
-10.00,9.97,5.02,1534
-10.01,-10.00,4.99,1524
10.02,-0.04,-0.00,863
10.01,10.02,9.98,1523
10.01,10.00,0.01,958
4.93,-0.04,0.03,968
10.00,-0.04,4.99,1521
9.99,9.98,-0.00,867
0.01,-0.03,0.00,966
-4.97,-10.00,0.01,971
-19.99,-0.01,0.01,1070
-9.95,-5.03,-0.02,870
10.01,9.98,-0.00,868
-9.99,-10.29,14.89,968
0.01,4.97,-0.00,862
-9.97,0.01,4.99,1532
-10.10,-0.00,15.05,859
0.01,-10.01,0.01,1057
9.96,-0.04,9.97,965
10.01,9.99,-0.01,868
10.01,9.99,0.01,970
0.04,10.02,0.00,1073
-9.98,-10.00,0.00,969
0.01,-10.02,-0.00,870
-9.94,-9.94,10.00,1522
10.00,-10.01,-0.00,869
-5.01,-14.97,0.02,1065
0.02,-0.00,15.03,855
9.95,-0.04,0.02,969
0.02,10.00,-0.00,863
4.93,-0.04,0.03,964
0.01,-0.03,-0.00,867
-9.99,-9.98,-0.00,871
-15.02,0.07,9.96,2171
9.95,-0.04,0.02,970
-4.96,-0.05,-0.01,870
0.07,-0.03,9.98,964
-9.99,-10.01,-0.01,870
10.02,-0.01,4.99,1065
-9.97,4.99,-0.01,872
-9.98,0.01,0.03,970
5.00,9.98,0.01,971
5.00,-5.04,0.00,971
0.02,10.00,-0.01,868
10.02,9.99,0.01,969
-0.01,-0.02,-0.00,868
-9.98,10.01,4.99,1520
-9.98,-0.01,0.01,970
-9.97,0.00,-0.00,870
-0.00,-0.02,-0.00,870
-10.00,9.98,-0.00,868
-9.98,0.00,5.00,1523
10.01,-9.96,4.96,1527
10.01,9.98,-0.00,869
10.00,9.99,-0.00,869
0.03,10.00,-0.01,863
10.01,-10.00,-0.01,868
-4.99,4.99,5.01,1531
-0.04,-14.97,0.03,1058
0.03,-0.02,5.00,964
10.01,-0.02,0.01,1065
-9.98,-0.02,-0.00,871
0.04,-0.01,10.03,964
-0.01,-0.01,0.00,969
-9.97,10.01,4.99,1530
-0.04,14.94,5.02,1627
10.02,-9.99,-0.01,866
10.03,-10.00,-0.01,866
0.02,-5.02,-0.00,868
10.00,9.97,-0.01,864
-9.99,9.98,4.98,1522
-0.02,9.98,-0.01,868
-0.00,-5.02,0.02,970
0.06,9.97,-0.05,862
-0.01,4.98,-0.00,869
0.02,-0.01,9.96,966
-9.98,-0.01,-0.01,869
-0.00,-0.02,-0.00,866
5.05,15.03,0.02,1063
9.88,-0.07,9.97,967
0.02,10.02,-0.00,871
-10.01,-5.02,0.01,971
0.01,9.98,0.00,970
10.00,9.97,10.00,1529
-0.01,4.89,-0.01,869
0.01,-5.03,0.00,968
10.01,9.99,0.01,971
0.05,9.98,5.00,1522
10.02,9.95,9.98,1529
-10.01,-10.01,0.00,970
10.00,-9.98,0.01,970
0.02,-15.01,-0.01,870
10.04,-10.02,-0.00,867
10.03,10.00,-0.00,867
9.98,9.99,4.98,1527
-0.00,-10.02,9.98,1064
0.01,-0.04,0.00,965
0.01,9.98,-0.01,862
-10.00,-5.03,0.00,968
14.98,-0.00,-0.01,869
0.02,9.99,-0.01,863
7.47,0.00,0.01,968
0.02,9.99,-0.01,868
10.00,-10.03,4.97,1530
10.02,-9.99,-0.01,869
-0.03,10.03,10.01,1061
-15.01,-15.00,-0.00,871
-9.94,-0.02,4.99,1526
0.01,-10.01,-0.01,869
-9.98,0.01,4.99,1531
-10.00,9.99,-0.00,870
10.00,-9.99,4.93,1528
-10.00,-9.99,-0.01,871
4.93,-0.04,0.03,966
-10.02,9.99,-0.00,871
-0.01,-0.03,-0.00,858
-10.03,-9.99,-0.01,869
-0.04,14.90,10.05,1614
0.01,-0.03,-0.00,866
10.03,10.02,-0.01,861
-9.98,0.04,14.99,966
10.05,-10.15,15.01,856
10.01,-10.00,-0.01,868
-9.98,0.02,4.93,1530
-0.02,-0.01,4.99,968
15.05,-14.99,-0.01,869
0.00,-0.02,5.00,963
-9.98,0.01,0.00,968
0.01,0.02,4.99,956
9.95,-5.01,0.01,971
-0.00,-0.03,-0.00,868
7.45,0.01,0.01,966
10.00,15.02,-0.00,869
-5.00,5.01,9.96,1527
14.92,-5.02,0.01,1067
0.02,-10.01,-0.01,868
15.08,10.04,-0.01,868
0.00,-10.00,0.00,1065
-10.02,9.99,-0.00,859
-0.02,-10.01,0.00,1060
0.04,9.97,-0.00,852
-0.03,-14.94,0.01,1067
-10.01,-10.01,-0.00,870
10.01,-0.00,0.01,1619
0.02,-5.13,14.96,972
-14.96,15.00,0.01,871
9.98,0.00,-0.01,866
10.02,9.99,-0.00,868
9.98,-0.04,9.95,957
-10.00,0.00,0.01,969
-14.96,14.99,0.00,870
5.03,15.02,0.02,1064
0.00,-10.02,9.98,1064
-0.01,4.97,-0.00,864
0.02,-0.03,-0.01,857
10.00,-9.99,-0.01,870
10.03,-10.02,-0.00,868
-9.98,-0.01,-0.00,870
10.01,9.99,-0.00,860
4.97,4.98,14.99,965
-9.99,-9.99,0.00,969
-0.01,9.99,5.02,1527
9.99,10.00,0.00,971
-0.01,-0.02,-0.00,868
-9.94,-9.97,0.01,969
-15.00,0.04,5.04,1068
4.98,-5.02,0.00,970
10.02,-9.99,-0.02,870
9.94,-5.08,0.02,965
10.04,-0.02,5.01,1628
-0.00,-4.87,10.03,1529
10.02,9.97,-0.01,866
10.00,9.99,0.01,970
0.08,-10.00,0.02,962
-10.01,9.98,-0.02,871
9.99,9.97,4.96,1529
0.01,4.97,0.00,963
-9.98,0.02,4.98,1523
-10.00,-0.08,5.00,1067
-4.94,-0.06,-0.00,871
-10.02,9.99,-0.01,871
-0.01,4.97,-0.00,855
4.96,-0.16,14.95,953
-0.01,-0.03,-0.00,861
9.99,-0.01,-0.00,869
-0.00,-10.03,5.01,1622
0.01,-0.03,-0.00,866
-9.98,-10.00,5.00,1528
0.01,-10.05,4.97,1062
-10.01,-10.00,0.01,971
10.01,-10.01,-0.00,861
-10.00,9.97,0.00,970
0.02,-10.00,0.01,971
0.04,-10.02,-0.01,870
10.01,10.01,-0.02,865
10.05,-10.01,0.00,968
10.00,-9.97,4.92,968
0.54,-9.99,0.04,968
-4.92,4.99,-0.00,867
-9.95,-5.03,-0.02,870
-9.98,-0.02,0.01,970
4.93,5.02,0.00,967
-0.01,-0.04,0.00,967
10.00,9.98,5.00,1528
10.08,0.02,4.99,1067
0.00,4.99,0.01,971
9.99,-0.02,-0.01,867
-9.99,-10.00,-0.00,869
-9.98,-10.00,0.00,971
7.47,-0.01,0.00,966
15.03,-0.04,-0.01,867
0.00,-0.03,-0.01,867
-19.99,-0.00,0.01,1066
-10.01,10.00,-0.01,863
-10.00,-9.99,-0.01,870
-4.99,-5.03,10.00,1529
9.98,9.96,9.98,1521
4.93,4.99,0.01,969
