x,y,z,runtime
-9.99,10.07,0.01,1076
-0.03,0.04,-0.00,869
10.01,-0.00,10.00,1067
9.98,-0.02,5.01,1526
-0.00,-9.99,0.03,973
-10.01,-10.01,5.03,1520
-0.00,10.05,0.00,1063
9.97,0.01,5.01,1530
-0.01,0.02,0.01,968
-5.06,-14.98,-0.03,867
9.98,10.01,10.00,1529
-0.02,10.01,0.01,1068
-10.00,-15.02,-0.01,870
9.98,10.00,10.00,1518
-0.01,0.02,0.01,969
10.00,9.97,10.02,1529
5.50,0.12,0.01,968
0.02,9.98,14.96,968
-0.00,0.03,5.02,969
4.97,-5.03,10.03,1528
-9.98,-0.01,10.01,970
-5.01,0.02,0.00,973
-9.95,9.97,10.01,1528
-5.01,0.02,0.00,970
0.01,10.03,5.00,1064
5.05,-0.12,0.01,958
0.00,9.99,10.01,961
-10.04,10.00,0.00,965
0.02,-10.06,14.98,1064
0.01,-10.01,0.01,1626
-9.96,-0.02,15.00,867
0.07,5.00,15.01,873
0.05,-10.00,5.00,1528
-10.00,9.95,0.01,971
-10.00,-10.02,0.01,971
-9.97,-10.02,10.03,1528
-0.01,0.02,0.02,967
-10.00,0.00,5.02,1522
0.02,-10.00,4.99,1521
-9.96,9.99,5.03,1530
-10.01,-4.99,0.03,972
-9.99,-0.01,5.02,1530
10.00,-0.01,9.96,966
-10.02,-4.88,-0.02,868
0.01,-10.03,5.03,1066
9.95,0.02,5.01,1527
0.03,-10.00,5.01,1064
5.07,-5.15,5.06,1526
0.05,15.04,5.01,1618
-9.98,10.01,5.01,1529
-0.01,0.02,0.02,971
9.99,9.99,-0.00,870
0.04,-10.00,5.01,1069
9.96,9.99,5.00,1521
-9.88,9.95,0.07,969
0.00,10.03,5.00,1066
-15.07,10.04,0.00,1626
-10.01,0.03,0.04,1068
0.03,-10.00,5.00,1528
-10.02,0.01,5.04,1070
9.98,9.98,5.00,1522
9.97,0.03,0.01,969
9.99,9.98,5.00,1519
-10.00,10.05,-0.00,867
-19.97,0.02,0.00,1072
-0.09,-0.03,14.96,957
-0.01,-14.98,5.02,1067
-4.94,5.02,15.00,966
-9.97,-10.00,0.01,972
0.07,9.98,14.96,968
-0.10,-4.95,0.04,970
-0.00,10.03,0.00,1066
9.97,10.00,5.01,1530
10.00,-10.00,4.99,1518
9.98,10.00,5.01,1528
5.07,4.97,10.04,1519
9.97,10.00,5.00,1523
-10.00,-10.00,5.02,1530
0.01,10.00,10.01,969
-10.00,-10.02,0.01,970
0.02,10.00,10.01,967
-0.01,0.02,0.00,969
14.97,9.99,0.00,1625
-9.99,-10.01,5.01,1519
-0.02,10.06,5.02,1629
0.05,15.01,14.99,1065
