x,y,z,runtime
-10.01,-10.01,5.01,1634
0.00,0.01,-0.01,861
10.06,-0.30,14.92,1063
10.01,0.02,0.00,1065
9.97,9.96,-0.00,869
-5.03,4.99,10.00,1520
-0.05,-9.95,14.96,967
14.96,-0.03,5.01,1618
10.00,0.01,-0.00,867
-9.98,9.96,10.01,1529
10.03,-9.98,0.00,970
9.99,9.98,4.99,1528
-4.95,0.03,5.01,1519
0.07,-15.01,-0.01,868
10.01,0.02,4.99,1065
10.05,5.02,0.05,972
-10.00,-10.00,5.00,1530
10.03,-9.98,-0.00,868
-9.99,-5.07,-0.03,869
-4.96,-5.03,9.98,1519
-0.03,-10.05,5.00,1069
5.00,4.95,5.01,1525
0.02,-10.01,-0.02,854
-9.93,-9.98,-0.00,870
-9.96,-0.03,-0.01,869
-10.03,10.04,0.00,970
9.97,9.99,-0.01,871
-10.03,9.95,10.01,1533
4.96,-5.08,0.00,972
-0.05,5.03,-0.01,871
-0.04,10.00,5.01,1518
-0.04,14.96,10.05,2175
10.00,0.01,-0.00,866
-0.04,9.97,5.01,1528
10.01,-0.02,5.01,1063
-10.09,10.00,15.01,869
-5.06,10.07,0.00,973
-9.97,-9.99,-0.01,870
10.01,9.71,15.07,863
-0.01,10.00,10.01,971
-0.01,0.03,4.97,967
9.99,9.98,4.99,1528
10.03,-9.98,0.00,968
-0.04,5.01,-0.00,870
-0.02,-10.06,5.00,1069
0.00,9.98,-0.00,865
0.00,0.02,-0.01,870
10.00,-0.00,-0.00,860
0.01,-20.02,-0.03,869
-0.02,-10.04,5.00,1066
-0.02,-10.03,5.00,1069
-0.03,9.99,5.00,1528
-15.02,-0.03,0.00,1077
-0.05,-10.04,10.00,1067
-5.26,-0.11,14.96,959
-0.01,10.00,10.00,969
-9.99,-10.00,9.99,1527
-10.00,10.11,-0.02,870
-14.86,0.01,15.01,869
10.02,9.96,0.03,970
-10.04,-0.05,4.98,1068
-9.92,-0.03,0.01,972
-10.00,-0.05,10.00,971
-10.02,-10.02,4.99,1527
0.02,-9.96,4.98,1520
5.08,-5.06,10.00,1526
-9.92,-0.05,-0.01,871
-0.01,9.97,4.99,1522
-0.02,-4.97,10.01,1530
-0.10,-5.02,10.02,1519
10.03,-9.98,0.00,969
-0.10,4.89,15.01,860
10.02,-10.00,5.00,1525
-10.06,-0.03,10.04,1068
-9.97,0.06,15.01,861
-9.94,-14.93,-0.02,871
0.03,10.05,14.98,1064
10.02,-0.01,10.00,1062
-0.03,9.97,5.01,1530
9.99,9.98,5.00,1519
-9.92,-0.03,0.00,971
10.02,-10.00,4.99,1521
-9.95,-9.98,0.00,969
-10.02,-10.01,5.00,1522
-10.00,-10.04,14.99,970
-0.02,-4.97,-0.01,870
10.01,9.97,0.02,971
4.92,-5.04,4.94,1525
10.00,0.01,-0.00,869
-14.99,-0.03,-0.01,871
10.01,-0.00,4.99,1065
10.01,0.02,4.99,1067
-10.03,9.94,10.01,1534
0.01,10.02,-0.02,871
-0.04,4.97,10.02,1518
5.09,-5.05,10.00,1529
-10.03,10.11,-0.01,869
9.97,10.01,-0.01,871
10.03,-9.98,0.00,969
0.02,9.95,5.00,1519
10.04,9.96,0.03,968
-4.91,0.03,5.01,1526
-10.03,10.02,5.02,1528
10.00,-10.00,4.99,1518
-10.06,9.92,10.01,1523
0.04,-10.01,-0.01,869
-0.01,9.97,4.99,1518
10.00,9.95,0.01,968
9.99,-0.03,10.01,967
4.92,9.94,-0.05,871
0.05,-19.98,-0.02,867
10.03,-9.98,0.00,968
10.01,-9.99,-0.02,867
10.01,0.03,4.99,1066
-0.03,5.03,0.02,971
-0.03,20.03,0.00,972
0.05,-9.97,-0.00,868
0.00,0.02,-0.01,861
-9.94,-9.98,-0.00,867
-0.03,5.01,10.01,1528
10.06,5.02,0.05,970
-0.06,10.01,5.01,1064
9.97,9.99,-0.01,869
10.02,-10.00,5.00,1527
0.04,-9.97,-0.00,869
-9.96,-0.02,-0.01,862
-10.00,9.88,15.04,860
-10.04,10.00,5.02,1532
4.97,-0.07,5.00,1529
-10.01,-10.02,5.01,1528
9.99,9.97,4.99,1520
10.00,0.02,0.00,1063
-10.06,-9.98,14.98,972
0.01,-10.01,-0.01,869
-0.02,-9.99,9.99,970
-10.02,-0.06,5.00,1071
10.05,-10.00,5.00,1520
0.01,9.93,15.01,866
-0.13,15.06,-0.00,871
-10.04,10.01,5.00,1528
0.02,-10.02,5.00,1070
9.98,9.97,-0.01,869
0.03,-10.10,9.99,1068
10.03,-9.98,-0.00,868
10.01,0.02,0.00,1075
10.00,-10.02,10.00,1526
-0.03,9.99,5.01,1519
9.98,9.97,-0.01,870
-15.01,-0.03,-0.00,872
10.03,-9.98,-0.00,868
-9.97,-10.02,4.94,1527
-10.02,9.95,10.01,1523
10.04,-10.01,14.98,968
-9.92,-0.05,-0.01,870
0.03,-9.95,-0.01,870
14.96,-0.03,5.01,1623
-9.98,-0.01,-0.02,871
-10.02,10.09,-0.01,872
-10.00,-10.01,4.99,1528
4.99,-0.08,4.97,1520
-9.98,0.05,15.01,867
-10.02,-0.02,5.00,1067
4.95,4.97,10.02,1527
4.99,5.01,5.02,1527
9.86,-0.07,15.00,968
14.97,0.13,0.03,1615
0.01,-10.03,5.00,1061
-10.00,-10.01,9.97,1525
0.02,-10.03,4.99,1066
0.01,9.98,-0.04,871
10.03,9.75,15.06,865
-0.03,9.96,4.99,1525
0.02,-10.02,5.00,1066
10.04,9.99,10.05,1526
0.01,-9.98,-0.02,871
-10.02,-0.02,4.99,1068
9.99,9.98,-0.00,869
-0.02,5.04,0.02,971
-0.02,9.98,5.01,1525
-10.00,-10.00,9.96,1527
10.01,-10.01,10.00,1528
-0.02,-4.99,-0.01,870
0.05,-9.97,-0.00,869
4.95,4.95,10.03,1528
4.99,4.95,15.03,857
-10.02,-10.03,4.98,1528
0.01,-9.99,10.01,971
0.01,-9.99,10.01,970
0.00,0.01,-0.01,871
10.01,-0.01,5.00,1064
-9.99,-5.04,-0.01,872
0.03,-10.01,-0.01,865
9.95,-9.99,15.00,967
10.01,0.02,0.00,1065
10.01,-0.05,0.00,1066
0.00,0.01,-0.01,872
-10.03,15.03,-0.01,865
-10.02,0.01,5.00,1068
4.90,5.01,15.02,867
-9.97,-5.06,-0.03,870
-9.99,-10.01,4.99,1520
10.01,-0.02,5.00,1064
-10.04,-0.04,4.98,1067
5.01,-0.04,15.01,847
-10.00,-9.99,9.95,1529
-4.96,0.02,5.02,1527
-10.07,-9.97,14.94,969
10.01,-10.02,10.00,1522
-15.04,-9.98,0.00,1629
14.92,-0.11,10.00,2169
10.00,9.98,-0.00,870
0.03,-10.01,-0.01,869
10.00,-14.99,-0.00,863
-9.95,0.00,-0.00,871
-9.97,-9.96,0.01,973
9.97,9.97,4.99,1526
0.04,-9.98,-0.00,869
0.00,0.02,-0.01,871
-9.96,-9.99,-0.00,863
-9.97,-0.02,-0.00,871
10.03,-10.00,5.00,1521
-4.95,-0.10,-0.03,870
-9.95,-9.99,-0.00,870
-10.01,-10.01,5.02,1528
15.06,9.95,0.03,1618
-9.98,-10.00,-0.01,870
-9.96,-9.99,-0.00,871
10.00,-10.01,10.01,1525
-9.92,5.03,0.03,973
10.01,-10.01,10.00,1522
0.01,9.97,10.01,969
19.96,-0.00,0.01,1065
-4.98,-15.02,0.01,1067
10.02,9.99,4.99,1528
-0.05,-9.98,9.99,970
0.01,-5.03,5.01,1513
0.03,-14.94,5.03,1629
-0.03,9.97,4.99,1529
-19.97,-0.05,0.01,1067
10.00,0.01,-0.00,866
15.03,-14.95,0.00,872
-0.04,14.96,10.05,2182
-4.95,4.96,9.97,1527
9.88,-0.42,14.86,963
0.03,-10.01,-0.01,865
10.01,-0.01,10.00,1064
-9.97,-9.99,-0.00,872
-9.92,-0.06,0.00,970
-10.05,-4.97,-0.04,863
10.01,0.02,-0.00,869
-0.04,-9.95,14.96,969
-4.94,-4.89,5.05,1529
-10.07,10.00,15.02,868
0.01,-10.02,10.00,1065
10.00,9.98,5.00,1530
-5.07,15.02,0.00,1068
-9.89,-0.06,-0.03,860
-10.03,-0.04,4.99,1067
10.03,-10.01,10.01,1526
-9.96,-9.92,0.03,973
0.05,-9.97,-0.00,869
-10.00,-10.01,9.97,1526
-0.03,9.98,5.01,1518
10.02,0.03,0.00,1067
-10.03,-10.06,4.95,1519
10.00,0.02,0.00,1065
-9.94,-9.98,-0.00,871
0.01,10.00,-0.02,870
-10.00,-10.00,9.95,1519
10.03,-9.98,0.00,970
-0.05,-10.06,5.01,1062
-0.01,0.02,5.00,969
-15.07,-15.01,-0.02,865
-9.98,-0.04,-0.01,868
-10.03,10.05,-0.00,870
10.02,9.95,0.03,971
0.04,-9.98,-0.00,870
10.00,10.00,10.02,1518
-10.00,-10.01,4.98,1527
10.02,9.96,0.03,971
15.03,-14.95,0.00,870
-9.91,-0.05,-0.02,862
10.01,9.97,0.02,969
10.03,-10.00,-0.01,869
0.04,-9.95,-0.01,871
10.03,-9.98,0.00,968
-9.91,-5.06,0.04,972
-10.07,-0.01,10.01,1067
-9.94,-14.93,-0.02,873
-15.03,10.02,-0.00,871
-10.02,-10.03,4.98,1520
-0.03,9.95,5.01,1530
-9.99,-10.04,15.01,868
10.04,-9.98,0.00,969
0.03,10.01,0.01,1059
4.94,0.07,0.02,968
-10.00,-10.00,9.95,1528
-0.05,-14.98,9.98,2175
-9.95,-0.03,0.01,971
15.01,-4.99,-0.02,868
10.00,-10.00,4.99,1518
9.99,9.97,0.03,972
-10.06,10.01,4.99,1529
-9.97,-0.05,15.00,970
10.05,-10.00,5.00,1524
14.99,14.96,-0.02,867
15.03,-14.96,0.00,869
10.03,-10.00,5.00,1527
-0.04,10.00,5.01,1519
-10.05,10.04,0.00,972
-10.04,-0.04,4.98,1074
9.99,9.98,5.00,1529
-0.09,0.00,4.99,970
10.00,9.98,-0.01,869
10.03,-9.98,-0.00,866
-5.00,-5.09,15.01,864
-10.05,15.03,-0.01,871
-9.95,-14.92,-0.01,873
10.04,9.78,15.06,862
0.02,9.99,0.01,972
9.99,-0.01,-0.00,870
-9.99,-9.99,5.00,1530
-10.02,9.94,10.02,1530
-9.96,-10.01,-0.00,871
-9.96,-10.01,0.00,969
0.02,-10.02,5.00,1060
-10.04,-0.04,4.98,1067
0.05,-9.97,-0.00,868
-10.00,10.07,-0.01,870
10.03,-0.03,5.01,1627
-10.01,10.05,-0.00,870
-10.03,-10.06,4.95,1529
-10.05,10.04,-0.00,861
0.04,-10.00,-0.01,870
-10.00,-10.00,9.94,1531
10.00,0.02,0.00,1615
9.99,9.98,4.99,1528
9.98,10.03,-0.01,870
-10.00,10.08,-0.01,869
-9.99,0.04,15.01,867
4.93,9.94,-0.05,872
15.02,14.96,-0.01,869
10.03,-9.98,0.00,965
10.03,-9.98,0.00,961
9.98,9.98,-0.01,871
-5.06,4.94,15.02,860
-9.97,-0.02,0.00,971
-0.09,9.97,14.95,959
-10.00,10.03,0.00,972
-10.09,10.10,15.02,865
-10.03,-0.04,4.99,1067
-10.03,9.93,10.01,1520
-9.96,-14.90,-0.01,871
-9.99,-0.03,-0.01,865
-0.02,9.96,4.99,1519
-10.06,-0.02,10.04,1067
-9.95,-9.98,0.00,968
5.00,-0.03,15.01,855
-5.06,4.94,15.02,866
-9.98,-10.00,-0.01,870
0.03,-10.01,-0.02,869
-10.03,10.05,-0.00,867
0.04,-10.00,-0.01,868
0.03,-10.03,4.99,1068
-10.02,0.03,-0.02,869
4.95,-0.02,15.02,856
10.00,9.96,0.01,969
9.99,0.02,9.99,967
-10.02,9.93,10.01,1525
10.03,-9.98,0.00,970
-10.04,9.63,0.01,971
-0.08,15.10,5.05,1627
10.02,-0.02,10.00,1063
-9.95,0.01,-0.00,869
10.00,9.98,0.02,970
-0.06,-4.98,-0.00,868
0.02,10.00,-0.01,871
10.02,-0.02,10.00,1065
0.03,10.04,14.98,1067
-10.03,-0.03,5.00,1069
-0.01,9.93,9.95,968
-9.94,-0.05,0.01,969
-9.96,-10.03,-0.00,870
-0.04,-9.98,9.99,969
-4.98,-0.03,10.00,1519
-0.09,15.11,5.01,1627
10.01,-0.04,0.00,1067
10.01,-10.01,10.00,1522
0.02,10.00,-0.01,866
10.03,-10.00,4.99,1517
-0.02,-4.98,-0.01,870
0.03,10.01,0.01,1069
10.00,0.02,0.00,967
-10.03,9.55,0.02,970
-9.97,-0.02,-0.01,871
10.02,-0.01,10.00,1062
-10.07,9.92,10.03,1530
-0.01,9.97,5.01,1527
-0.13,15.04,0.01,1068
-14.98,10.02,0.01,1069
0.01,10.00,-0.02,870
-5.09,15.02,0.00,1067
-9.97,-5.06,-0.03,870
0.06,-9.98,-0.00,870
-9.91,0.02,0.02,973
9.99,9.97,0.03,965
10.01,-0.01,5.00,1064
9.97,9.96,-0.00,869
0.04,-9.98,-0.00,869
-0.01,-10.04,5.00,1069
0.04,-9.97,-0.00,870
-10.01,-10.02,5.01,1522
-0.08,-9.90,15.04,868
-10.04,9.99,5.01,1531
4.99,4.94,5.01,1519
10.03,-9.98,0.00,970
-15.05,-15.01,-0.02,873
0.04,-10.01,-0.02,870
-0.01,10.00,10.01,1072
-0.11,0.00,5.00,967
