x,y,z,runtime
0.02,9.97,4.98,1521
-10.02,-10.00,5.01,1411
10.03,10.03,-0.01,759
-10.03,10.05,14.99,857
-0.07,-14.94,15.02,758
9.97,5.00,-0.04,758
-0.02,0.01,15.08,749
-10.05,0.02,-0.00,761
-10.00,0.00,0.00,861
-0.12,9.97,-0.04,758
9.97,10.00,9.99,1409
10.00,0.01,5.00,954
9.91,0.02,15.02,753
10.01,-0.01,-0.01,753
9.91,9.60,14.99,854
10.00,10.03,10.00,1411
-8.90,9.88,14.83,858
4.94,5.05,10.00,1421
0.05,-0.09,10.00,1416
10.01,-10.01,0.01,858
0.02,-9.96,10.01,858
0.01,10.00,0.00,857
-9.97,15.00,-0.01,759
9.98,-9.97,5.00,1409
-9.96,-9.95,0.02,862
-0.02,-0.01,-0.00,753
-10.03,-10.09,0.01,860
-0.09,9.99,-0.04,745
10.01,-0.02,-0.01,758
-9.95,-9.99,5.01,1409
15.04,-0.04,4.99,1514
4.98,5.01,15.03,757
0.19,-4.93,15.00,864
10.01,-10.04,0.00,860
-5.00,5.00,5.02,1410
10.04,10.03,15.03,757
10.01,10.00,-0.01,757
10.02,10.00,4.98,1415
9.98,-9.96,9.99,1407
-0.01,-0.00,-0.01,757
-0.06,10.07,0.01,956
-10.06,-10.00,5.01,1419
14.90,5.17,-0.03,756
-0.10,-5.03,-0.01,750
9.97,10.00,14.98,856
5.04,5.02,4.98,1409
-0.05,-9.99,5.02,1409
10.02,10.02,-0.01,759
0.03,15.02,10.02,2074
-10.03,10.00,-0.00,760
0.02,0.00,4.99,858
10.01,-0.03,9.99,953
-0.05,4.61,15.10,751
0.01,-9.98,0.00,859
-10.03,-14.96,-0.01,759
0.03,-10.01,0.00,958
-0.03,-5.01,-0.01,750
10.02,-9.98,10.00,1408
-0.01,-9.97,4.99,1408
-5.01,-4.96,10.01,1410
10.03,-9.99,0.01,861
-4.99,-0.00,9.98,1413
-5.00,-10.00,0.03,860
0.02,-9.98,10.00,859
10.02,10.04,5.00,1407
10.02,10.02,-0.01,759
15.00,-15.07,-0.01,759
-0.00,0.01,-0.01,749
0.03,-0.07,4.98,859
-10.00,0.02,-0.01,759
-9.99,10.02,5.00,1419
-0.02,-0.01,-0.00,760
10.01,0.00,-0.01,757
-9.99,-4.96,-0.00,759
10.02,10.03,-0.01,760
10.03,10.01,5.01,1420
9.99,-0.01,10.00,855
-0.02,-15.11,10.01,2062
0.04,10.02,5.01,957
10.02,-10.00,0.01,859
-0.03,-20.02,0.02,862
0.04,10.01,5.00,1520
0.01,10.00,9.99,957
-14.95,-0.03,-0.00,752
8.22,-0.02,0.17,859
-0.01,-10.00,0.01,957
0.01,4.94,5.01,1409
-10.02,10.02,5.00,1411
10.01,0.00,-0.01,756
4.93,5.04,10.01,1412
-9.99,-10.00,-0.01,760
0.03,-0.00,10.01,850
10.05,0.01,9.99,953
-9.99,0.02,-0.01,760
9.98,10.00,0.00,861
14.96,5.05,-0.03,751
-10.00,-0.02,4.99,961
20.01,0.03,-0.01,750
-0.02,-10.00,0.01,955
10.02,-0.01,-0.01,756
-10.02,10.04,4.99,1410
-9.99,-0.03,-0.01,760
-0.00,-15.01,5.00,1512
10.00,-10.00,0.00,858
-9.96,10.04,5.00,1417
-10.01,-9.98,0.02,862
-5.00,0.10,10.15,1407
10.07,-10.02,5.04,1408
-9.99,0.02,0.01,861
-9.96,-9.94,15.03,759
-0.04,-4.93,10.00,1408
-0.02,-9.95,10.01,859
-10.03,10.04,-0.02,758
-9.96,-10.02,10.00,1412
10.04,10.03,-0.01,758
-0.06,-14.96,15.00,759
4.96,0.09,0.02,851
10.01,10.00,5.00,1416
10.02,-10.00,0.01,858
