x,y,z,runtime
-9.98,0.02,4.93,1623
-10.00,10.02,-0.01,844
0.08,0.03,5.04,953
-0.01,-9.99,0.01,956
10.01,10.00,-0.03,852
0.00,5.00,-0.02,853
-0.04,10.03,-0.02,847
9.97,-10.00,5.05,1517
14.91,14.99,-0.01,849
-15.04,15.09,-0.02,851
-4.98,0.00,-0.02,852
9.96,10.07,10.08,1512
-9.97,10.04,0.00,950
0.00,5.00,-0.00,846
0.08,0.03,5.04,952
4.89,0.06,-0.01,841
5.01,-4.98,0.04,950
9.99,9.97,-0.01,852
-4.98,-0.03,-0.02,854
9.99,-0.04,-0.01,854
-9.99,0.02,-0.01,852
0.08,0.03,5.01,953
9.98,-0.02,-0.02,841
-9.95,-4.98,-0.01,855
9.96,0.01,0.01,954
9.99,9.98,-0.01,849
9.96,0.00,-0.01,850
-0.02,-0.00,-0.00,847
-9.97,-10.00,-0.02,853
-10.00,10.02,-0.01,852
-9.95,-10.01,-0.01,850
-5.02,-5.05,5.01,1514
-0.10,10.12,5.06,1051
-0.01,-10.02,-0.02,854
-0.01,10.07,-0.03,850
-9.93,9.99,9.91,1515
-0.04,-10.01,-0.01,846
-9.95,-4.98,-0.01,856
-0.08,9.94,10.07,955
-4.92,-10.09,-0.04,849
-14.99,10.12,-0.02,850
9.93,-0.02,5.00,1507
-0.01,-9.97,-0.01,854
20.06,-0.07,-0.01,853
14.91,0.03,-0.02,837
-5.00,-15.00,-0.01,854
-9.95,10.00,9.90,1507
4.89,10.16,-0.02,853
9.99,9.99,10.01,1507
-9.97,0.02,-0.03,855
-9.97,10.04,0.01,954
-10.14,9.90,4.99,1518
10.01,-10.00,0.01,954
-0.04,-15.20,14.95,1050
-0.05,0.03,-0.02,851
-10.00,10.02,-0.01,853
-0.03,-15.27,14.94,1048
10.01,-0.02,-0.00,850
-0.06,15.00,4.92,2171
9.97,-0.00,-0.03,855
4.91,0.03,-0.02,848
15.04,0.05,-0.02,852
-0.02,0.03,-0.01,852
-0.02,-10.02,-0.01,846
10.00,10.00,4.97,1516
14.75,9.99,-0.03,850
10.04,-10.05,5.02,1514
9.92,-0.10,5.00,1507
-9.87,-9.97,9.84,1516
-9.96,9.99,-0.00,855
-10.02,10.03,-0.01,853
14.69,9.97,-0.02,851
-0.02,-10.09,5.07,1053
-0.04,-0.01,-0.02,852
0.06,0.01,4.95,949
5.04,0.01,-0.01,852
0.02,-10.11,4.98,1057
4.99,15.03,-0.02,849
10.10,0.02,10.01,1048
-0.01,0.03,-0.02,853
-9.97,0.04,-0.00,841
10.01,-10.00,-0.00,852
-10.06,-10.01,5.00,1516
9.98,-10.00,-0.01,853
0.10,-10.00,10.02,1049
10.01,-9.99,0.04,954
9.97,-10.00,-0.01,855
10.00,0.00,10.03,954
-0.02,4.99,0.00,956
14.65,-0.01,-0.01,852
-0.03,-10.02,-0.01,854
9.98,-10.00,-0.01,853
-10.00,-4.98,-0.02,856
10.07,0.01,4.98,1051
-9.45,-10.05,15.01,851
-9.97,0.03,-0.01,854
9.98,9.97,-0.01,853
-0.02,-10.00,0.01,953
4.93,-4.91,0.02,955
-10.01,-0.01,0.01,1049
-0.02,-0.01,-0.00,853
-9.97,-4.98,-0.02,852
-10.05,10.03,-0.01,853
19.85,0.03,-0.00,851
7.99,0.00,-0.00,843
-14.99,10.12,-0.02,851
-9.98,10.04,-0.01,841
-9.92,-10.02,-0.02,853
