x,y,z,runtime
9.98,0.00,-0.01,973
0.04,10.00,9.94,967
-10.00,0.06,4.94,1067
-10.00,0.06,5.00,1531
5.02,0.03,15.03,855
10.01,10.07,9.95,1520
10.04,-0.01,4.98,1062
9.98,-10.04,-0.02,870
-0.06,-10.00,0.00,970
9.97,0.01,5.02,1527
-10.05,-9.98,0.01,972
-0.12,0.05,-0.00,868
-0.04,10.10,10.03,1063
10.00,0.03,5.00,1062
0.01,0.10,5.01,969
10.02,-14.93,-0.01,867
9.99,-10.01,4.99,1528
10.01,-10.02,5.01,1528
-9.95,-9.95,-0.03,865
-0.06,-0.07,4.94,969
-0.13,0.04,0.01,969
9.97,10.05,9.98,1523
-0.06,5.03,-0.03,869
9.94,10.00,4.98,1530
-10.01,10.01,-0.01,863
0.02,-10.04,10.03,1062
-10.17,-4.97,0.02,970
-5.01,-5.00,4.99,1532
15.00,-0.03,4.99,2179
-15.07,10.01,-0.01,873
-0.07,-10.02,-0.00,870
10.02,-10.01,0.00,964
-0.04,-0.07,4.92,967
4.82,-0.03,4.99,1525
-10.00,-9.99,5.01,1525
-10.01,10.00,-0.02,871
9.97,-10.00,0.01,969
-9.99,9.98,9.98,1530
5.01,5.13,14.98,963
-0.06,9.99,-0.02,867
-9.96,10.00,4.97,1527
9.98,-10.02,0.00,969
-9.97,-4.98,-0.03,869
-9.93,0.08,15.06,866
-9.96,-9.95,-0.02,862
-0.10,-9.99,-0.00,868
10.13,14.81,-0.06,870
15.07,0.03,14.99,1064
10.02,10.00,-0.01,869
-0.04,-9.93,0.02,970
-10.10,-4.90,0.01,969
10.08,10.03,9.98,1519
9.98,10.05,14.94,968
-0.10,0.06,0.02,970
9.97,-10.00,-0.00,868
-10.04,9.99,-0.02,869
0.07,-9.99,5.00,1528
-10.04,-9.92,10.10,1525
15.15,10.15,0.03,1065
10.04,10.02,-0.00,869
10.01,-10.02,4.97,1524
9.97,-0.02,-0.00,869
-0.10,0.03,0.01,968
-0.11,-5.11,15.03,867
-9.90,-0.03,4.96,1524
-9.82,-10.02,4.99,1522
-0.07,-9.87,9.98,968
-5.14,14.86,0.02,1066
-0.03,-14.98,5.02,1065
-9.99,-9.97,-0.04,871
4.83,-0.04,9.99,1521
-14.99,0.02,0.00,1068
10.00,-10.01,0.00,968
-10.01,-5.08,0.00,974
9.99,-9.97,10.09,1519
9.97,-10.00,0.02,969
-9.98,-4.99,-0.02,871
-9.96,10.03,4.97,1530
-4.96,9.85,-0.02,870
-9.98,0.05,9.97,966
-9.90,-0.01,4.95,1531
-9.97,10.04,10.00,1531
-5.00,0.10,-0.08,871
-9.97,-5.00,-0.02,866
10.02,-10.03,0.01,970
0.03,9.94,0.00,970
9.91,-9.90,-0.03,868
-9.97,0.10,5.00,1524
10.11,-9.99,15.01,867
-9.99,0.03,-0.03,869
10.02,10.00,0.02,969
-9.97,-10.07,0.02,971
4.84,14.83,-0.03,871
-15.04,4.94,-0.04,871
9.90,-9.99,5.04,1528
9.98,-10.01,0.01,970
9.97,-10.00,0.02,967
-9.96,-0.04,4.97,1529
-0.13,5.04,0.00,969
10.06,10.00,4.98,1530
-10.04,9.99,-0.02,862
-0.04,-10.00,0.00,968
10.04,10.02,0.00,970
-0.05,5.11,-0.03,870
-10.04,9.99,-0.01,871
-0.07,-10.03,-0.00,870
10.06,9.99,-0.01,870
10.03,0.08,10.02,1063
-10.01,-10.02,5.04,1531
10.01,-10.04,4.93,1521
15.00,10.03,-0.01,871
9.97,-0.03,-0.02,860
10.09,10.04,-0.01,870
9.95,-9.92,15.01,865
-5.02,0.03,-0.03,872
-0.04,-9.96,-0.00,868
-9.95,10.04,10.01,1522
10.20,10.01,10.08,1529
-9.99,9.93,-0.01,871
10.04,-0.02,0.01,1063
0.02,9.91,4.97,1519
0.05,9.96,9.99,963
-0.06,-14.94,5.02,1625
-0.06,9.97,-0.02,868
