x,y,z,runtime
0.26,-10.00,-0.00,797
4.98,5.10,5.00,1463
-0.03,-0.05,5.02,898
-0.01,10.00,0.01,994
9.99,10.00,0.00,902
-10.08,10.02,15.00,909
-0.02,-9.98,0.00,897
-9.96,0.05,0.00,907
4.98,14.99,-0.01,801
-4.96,-4.98,-0.01,803
5.05,0.02,0.01,904
10.00,-10.00,-0.00,806
0.01,0.02,-0.00,803
-9.97,-9.98,0.02,908
10.00,-10.01,-0.00,807
-4.94,0.01,0.00,907
-9.98,10.03,0.01,904
0.00,-0.02,5.00,905
-9.97,9.99,4.99,1469
9.99,-9.99,-0.00,806
-10.00,-10.03,0.00,908
9.99,-10.00,-0.00,805
10.01,9.97,5.01,1467
-9.98,-0.03,0.01,908
-0.08,-10.03,-0.00,809
0.00,9.99,0.01,902
10.01,0.03,0.00,1000
-14.98,-10.01,-0.00,810
10.00,10.00,0.01,901
4.90,0.00,0.01,903
9.98,0.01,-0.00,795
-0.05,10.01,0.00,999
9.99,-9.98,10.04,1467
9.86,-4.93,-0.00,802
-0.01,0.02,0.00,902
9.99,0.03,-0.00,803
10.01,-10.03,0.01,907
9.88,4.94,-0.00,805
-0.01,10.01,0.00,994
9.97,0.04,5.00,1463
9.97,9.99,-0.00,802
10.02,-0.07,5.01,1005
5.00,0.01,5.00,1458
-0.00,9.91,9.99,905
0.00,-10.00,-0.00,803
-9.97,-10.05,5.02,1463
-10.00,-0.01,0.01,910
-9.97,10.02,-0.01,804
9.99,-10.01,0.00,906
-9.98,-0.03,4.99,1461
0.22,-10.00,-0.00,806
-9.22,9.99,15.01,804
-0.09,-0.07,15.02,798
-9.96,10.03,0.01,907
-9.99,-10.00,4.97,1473
9.96,-0.05,10.01,904
-5.00,15.03,0.00,998
9.99,-10.00,-0.00,810
0.04,0.02,-0.00,793
-9.98,9.80,0.01,905
0.04,-9.99,0.01,910
-9.96,-0.01,-0.01,806
10.00,-9.99,-0.00,806
9.93,-0.05,4.99,1457
-9.93,-0.01,5.00,1461
9.93,-15.02,-0.00,805
9.85,-4.94,-0.00,794
-9.91,5.01,0.01,905
-0.03,-10.05,5.02,1566
0.05,-0.01,5.00,905
9.97,-10.01,0.00,907
9.97,-10.00,0.00,907
9.99,-10.00,-0.00,808
-9.97,-0.01,-0.00,800
10.00,10.04,-0.01,800
-0.02,-10.00,-0.00,807
-9.97,9.81,0.01,905
-9.99,-10.05,5.00,1473
9.98,-10.02,-0.00,808
9.96,10.01,-0.00,799
-9.97,9.90,0.01,902
0.03,-4.97,0.00,905
-9.97,14.99,0.01,1002
-4.95,0.03,0.00,903
-4.94,0.01,0.00,907
-0.07,-10.01,-0.00,799
0.01,0.02,-0.00,802
10.00,-9.98,-0.00,807
9.99,-9.99,4.96,1458
9.98,0.01,0.00,903
0.02,4.98,-0.00,800
-4.99,0.04,0.00,906
-9.97,10.02,-0.01,807
14.88,-15.05,-0.01,808
-9.91,-9.93,0.02,905
-0.06,-10.03,4.97,1005
-0.03,10.01,4.99,1002
-4.99,-9.96,0.01,907
0.02,0.02,-0.00,800
9.63,6.82,15.04,807
-9.99,-5.00,0.00,909
-9.97,10.11,-0.00,803
-14.92,15.03,0.02,802
-4.96,0.02,0.00,905
-14.91,15.00,0.02,807
-9.92,10.14,14.99,897
9.93,-0.09,10.02,906
10.37,-9.81,14.96,906
-0.05,10.06,4.98,1001
-0.04,20.01,-0.01,791
-9.98,-9.97,0.00,910
10.00,-9.98,-0.00,807
-9.98,9.98,5.00,1469
-10.01,10.03,0.01,907
14.77,-0.14,5.00,1567
-0.04,0.04,5.01,910
10.08,10.07,15.02,807
-4.94,0.01,0.00,895
-9.98,-0.01,0.01,910
-9.95,0.02,-0.00,808
10.03,10.00,5.00,1465
14.89,-5.02,-0.00,806
-9.98,10.03,0.00,905
-9.93,10.02,15.01,808
-9.94,-0.07,9.99,908
-9.94,-0.01,-0.00,801
-0.00,10.00,0.01,999
-9.98,-0.02,-0.00,807
0.00,0.02,-0.00,795
-0.01,-0.00,-0.00,805
9.96,-10.00,-0.00,800
-9.96,10.10,10.01,1468
10.01,-10.00,-0.01,806
7.25,-0.01,0.00,905
-9.96,10.03,0.01,897
4.90,-0.01,0.01,901
-9.99,-0.11,15.01,807
-0.00,10.00,9.98,908
-0.07,14.98,4.99,2113
0.03,-4.83,4.98,1463
9.99,-10.02,4.99,1463
-19.87,-0.00,0.01,1004
9.90,0.06,-0.00,798
0.09,4.96,9.99,1466
9.97,10.02,0.01,903
-0.03,0.01,0.00,908
9.97,10.03,-0.00,805
10.02,10.03,4.98,1468
-9.99,10.02,5.03,1457
10.00,-15.02,-0.00,807
0.04,-9.97,0.01,907
9.85,-4.94,-0.00,802
-9.96,0.01,-0.00,805
14.82,-15.06,-0.01,806
0.00,-0.01,5.00,911
-0.00,10.00,0.00,897
-9.97,-9.99,0.01,906
0.01,-9.98,4.98,1468
-9.91,5.01,0.01,908
-9.96,-0.01,4.99,1473
10.03,-9.99,10.01,1463
9.91,4.95,-0.00,802
9.97,10.03,-0.00,792
9.99,-10.00,4.99,1468
9.97,10.04,0.00,903
9.86,0.03,0.00,896
-10.01,9.99,15.02,807
0.06,9.76,9.99,1460
10.00,-10.02,9.97,1465
0.03,0.02,-0.01,800
10.15,10.03,5.03,1455
0.03,-4.96,0.00,903
4.95,0.00,0.01,903
9.85,-4.94,-0.00,794
-9.99,9.96,0.01,905
-9.97,10.02,-0.00,801
-0.05,9.98,9.97,908
-4.99,0.04,0.00,905
-0.02,4.96,0.00,894
0.01,-4.97,10.00,1465
-9.98,-0.01,0.01,908
-9.92,-9.99,5.01,1471
9.98,-10.01,-0.00,805
-4.99,5.01,0.00,903
0.19,-10.00,0.00,1005
9.98,-9.99,0.00,909
9.99,10.00,0.00,903
9.99,10.01,0.01,893
-0.00,10.00,0.00,898
10.00,-14.99,-0.00,805
-9.94,0.00,0.00,906
-10.13,-0.09,5.02,1005
-9.97,9.90,0.01,905
-5.01,15.02,0.00,998
-0.03,0.01,0.02,904
-0.03,9.98,9.99,907
9.97,-10.01,0.00,906
0.02,4.99,0.00,900
-9.97,-10.01,4.98,1464
9.98,9.99,0.00,902
9.88,0.03,0.00,902
9.97,10.00,-0.00,799
0.03,0.02,-0.01,791
-10.02,-10.03,-0.00,809
-9.98,-0.01,4.99,1464
-0.03,15.02,-0.01,805
-0.02,0.02,0.01,907
14.96,14.98,0.01,793
9.97,10.01,-0.00,803
10.02,10.03,4.98,1464
15.31,-0.06,15.00,796
-0.03,10.00,0.00,999
-9.94,-10.01,-0.01,809
5.02,5.12,5.00,1454
10.00,-10.01,0.00,905
-10.06,-10.05,5.02,1471
10.00,-9.98,-0.00,805
-9.98,15.00,0.01,1000
0.19,-10.00,-0.00,805
-9.98,10.03,0.01,905
-14.92,15.02,0.02,804
9.95,-10.01,0.00,907
-10.04,0.05,4.98,1007
-10.00,-10.01,0.00,905
9.95,10.02,-0.00,802
-4.97,10.03,0.01,903
9.98,-10.01,-0.01,805
-9.97,-0.03,0.01,905
-0.07,-9.99,0.00,899
0.00,0.02,-0.00,805
10.01,-9.99,4.96,1459
4.96,-5.05,-0.01,803
-0.03,-9.96,0.00,906
9.99,10.03,-0.00,802
5.18,-0.05,-0.01,804
0.07,-10.01,0.01,1004
-9.88,-0.09,10.00,912
-9.48,10.06,14.98,906
-9.95,10.02,0.01,907
10.01,9.93,5.02,1458
9.99,-10.00,-0.00,808
0.00,-10.00,-0.00,808
4.90,0.08,5.00,1463
0.03,0.03,-0.00,802
10.02,-10.00,-0.00,803
-9.97,-0.02,-0.01,810
-9.94,10.00,14.95,908
-5.24,4.95,14.99,903
-9.95,-0.05,0.00,908
0.02,-4.96,0.00,904
-10.05,10.09,15.02,806
-9.98,10.03,0.01,906
-0.01,10.01,0.00,1000
-4.90,4.77,5.02,1468
-9.96,-0.04,0.01,910
14.89,-5.02,-0.00,806
0.00,-10.00,-0.00,806
-9.97,0.03,0.01,907
-0.06,9.98,4.99,1465
-0.04,9.93,5.00,1465
-9.98,10.02,0.01,906
-0.01,10.01,0.00,1000
10.00,-10.01,0.00,905
