x,y,z,runtime
-4.98,0.05,-0.01,976
-10.03,-15.03,-0.00,872
10.02,10.02,4.99,1529
-10.01,10.10,-0.03,872
-0.04,-9.92,-0.02,871
-10.00,10.04,5.00,1522
-0.07,10.06,14.99,1065
-10.02,0.01,-0.01,871
-0.02,10.15,5.00,1064
9.99,-10.00,5.01,1522
15.04,0.01,10.00,2164
-0.02,-9.95,10.00,965
5.02,-4.98,9.99,1529
-9.95,0.00,-0.01,871
-0.02,-0.00,0.00,971
-0.03,-0.00,-0.01,871
-0.02,-9.96,10.01,967
-0.05,-14.95,10.00,2177
4.92,5.12,9.99,1525
10.02,0.03,4.98,1066
9.99,10.00,0.01,972
-0.01,10.06,10.03,1066
-10.00,-9.98,10.02,1520
0.05,-4.81,10.00,1523
10.05,0.11,15.03,866
9.98,-10.00,-0.00,870
-10.02,-10.01,-0.00,873
-9.99,10.09,-0.01,862
-10.00,10.03,5.00,1531
10.01,0.00,-0.00,861
9.98,-10.00,-0.00,869
-10.00,10.06,9.98,1525
-10.01,-4.98,0.02,974
9.99,0.05,4.99,1526
9.96,-9.99,5.04,1528
10.00,10.00,-0.01,868
9.96,-10.00,5.04,1527
0.01,10.06,-0.01,866
-5.05,-4.88,15.05,869
-10.03,-15.02,-0.00,871
9.97,-9.99,5.03,1518
9.99,0.05,4.99,1524
10.00,0.00,-0.00,866
-0.01,-0.00,-0.02,870
9.98,-9.99,9.99,1519
-10.01,0.06,10.01,1065
-10.06,0.01,-0.02,871
-9.99,10.04,5.00,1534
-10.01,0.05,4.99,1067
10.02,10.02,5.00,1530
-9.98,-0.00,0.00,972
10.03,0.03,10.00,1062
-0.02,-9.97,5.03,1529
-0.29,-10.05,15.04,870
9.97,0.10,14.99,964
9.99,-10.00,-0.01,870
-9.90,0.08,14.99,967
9.99,-10.00,-0.01,869
-14.95,15.00,-0.00,863
-9.98,0.10,14.99,968
-10.00,0.04,5.00,1520
9.98,-9.98,5.02,1518
9.95,0.08,15.00,967
