x,y,z,runtime
9.99,10.01,0.01,1005
9.98,9.97,0.01,898
-14.83,-0.02,9.99,2105
9.99,10.01,0.01,898
-0.02,4.98,0.01,896
5.02,0.02,10.02,1456
4.96,4.95,5.02,1452
9.98,10.00,0.01,896
-10.15,-0.12,15.01,804
9.98,-10.01,5.02,1451
10.00,0.03,5.00,1463
-10.00,-10.02,5.00,1455
-20.02,0.01,0.01,899
15.03,0.02,0.00,994
-0.00,9.98,0.01,900
9.97,10.01,0.01,898
4.99,-4.93,15.00,905
-0.02,-0.01,0.01,898
-15.19,-0.07,15.02,802
-9.99,10.03,0.01,903
-0.04,9.98,0.01,899
-10.01,-9.99,0.00,898
-0.03,-0.01,5.01,901
-0.06,-9.98,5.01,1457
0.01,-5.01,0.00,897
-10.00,10.00,5.01,1464
4.90,-5.00,0.00,895
-0.02,-0.01,0.01,888
10.00,0.01,5.00,1456
-10.03,0.01,10.01,1001
-0.02,10.03,0.01,990
-5.02,0.01,0.00,898
4.99,-0.02,5.01,1451
4.96,0.02,0.00,896
-10.02,-10.01,0.00,899
-10.08,10.03,0.00,901
-10.01,-10.00,0.00,901
-0.07,-10.03,-0.00,799
9.92,0.33,15.01,802
-0.03,10.01,5.00,1000
-10.01,9.99,5.01,1458
15.15,0.05,0.00,995
-15.03,-14.96,-0.00,798
0.02,15.03,0.02,995
-10.01,9.99,0.01,897
-0.08,-10.03,-0.00,791
-0.07,-19.95,0.00,997
0.01,-15.06,0.00,990
-10.01,-10.01,0.00,901
-5.10,5.03,0.01,896
-10.05,9.99,0.00,901
4.97,-0.02,0.00,895
-10.02,-10.01,0.00,901
-0.04,9.98,0.01,900
-10.02,-5.00,-0.00,788
-0.02,10.03,5.00,1000
-0.02,-0.00,0.01,894
-0.04,9.98,0.01,895
-0.03,-10.00,-0.00,798
9.98,9.99,0.01,895
-0.05,0.01,10.01,904
9.96,-0.00,10.01,902
-9.97,15.01,0.01,996
5.01,0.00,0.00,894
-0.03,10.00,5.00,1454
-10.02,-10.00,0.00,902
9.99,10.01,0.01,897
10.00,10.02,0.01,897
-0.07,-10.01,5.01,998
20.03,0.02,0.00,897
-0.08,-10.01,-0.00,789
-10.00,-10.01,10.00,1467
9.98,-9.99,-0.00,796
-15.03,-14.96,-0.00,802
-10.03,-9.98,15.02,807
10.08,10.01,15.00,803
10.00,0.02,-0.00,797
-0.01,-0.01,5.01,901
-10.05,-10.02,0.00,897
4.91,-5.00,0.00,896
-5.02,-4.99,10.00,1455
-10.04,-0.03,0.01,994
10.01,9.97,5.00,1458
-0.00,-9.99,5.01,1461
0.01,-0.00,0.01,887
-10.01,-0.01,0.01,1558
-10.01,0.01,0.00,998
-10.00,10.00,0.00,900
-0.02,-0.01,0.01,898
0.01,15.03,0.02,994
9.99,-10.04,15.01,802
9.99,-9.98,0.00,897
-10.03,-10.01,5.01,1456
-10.03,-10.00,0.00,902
-10.03,-0.03,0.01,996
9.97,-9.99,-0.00,796
-10.04,-10.00,10.00,1456
-0.06,-10.03,5.03,997
10.01,-9.97,0.00,898
-10.02,-10.01,0.00,900
10.03,-0.02,5.00,999
0.02,-10.00,5.01,997
-10.03,10.02,0.00,901
0.00,10.02,15.02,798
-0.08,-9.95,5.01,1460
-10.00,-9.98,0.00,900
