x,y,z,runtime
9.97,-10.03,9.98,1516
-0.03,-4.96,-0.04,863
9.94,0.03,-0.02,863
0.05,-10.04,4.99,1064
-0.35,9.85,15.01,865
10.08,-15.05,0.00,1070
9.98,9.99,4.98,1520
10.05,-10.02,-0.02,869
-9.94,-0.03,9.96,969
10.00,0.05,4.97,1519
10.02,-10.00,4.98,1527
-9.97,9.96,4.99,1521
9.99,-0.02,9.95,968
-0.05,-15.05,15.01,869
-9.99,-0.00,0.01,971
10.01,10.03,5.01,1526
0.13,15.03,15.00,1063
9.99,10.01,4.98,1526
0.03,-10.00,5.00,1517
-9.97,-9.97,0.02,968
9.95,-10.04,15.03,865
10.01,-10.00,4.98,1517
0.07,15.05,9.97,2175
9.98,10.00,0.01,969
15.02,-0.07,0.01,1064
-5.03,-4.97,14.97,969
-0.04,-9.97,0.04,972
-0.02,10.01,-0.01,863
10.06,-10.03,4.97,1526
-10.04,-10.11,15.05,858
-9.98,-10.08,0.06,970
9.99,9.94,0.04,962
10.05,-10.01,4.97,1528
-10.01,-0.01,5.03,1069
8.00,0.01,-0.05,866
0.06,0.02,0.01,968
-0.05,5.06,5.00,1526
10.09,-9.99,-0.08,869
-5.10,4.84,15.00,867
-0.02,10.03,-0.03,860
5.07,5.09,0.10,969
0.04,-10.02,0.01,1067
-0.04,-15.02,15.04,866
5.08,5.05,15.06,856
9.58,0.16,14.99,962
9.96,10.02,-0.02,870
14.98,0.04,4.99,2172
10.02,0.03,15.06,865
0.07,5.04,14.99,959
5.09,-14.94,0.02,1065
10.01,9.91,-0.02,865
4.96,5.04,4.95,1522
10.07,-9.93,0.04,969
0.00,-10.01,-0.01,862
0.08,15.06,9.97,2173
0.04,-10.01,0.03,1065
-15.10,5.00,-0.02,870
10.01,-10.02,9.95,1523
-5.07,4.90,15.01,858
-9.98,-0.02,5.02,1521
-5.05,-5.02,14.98,968
0.00,-9.91,0.05,964
10.01,0.01,-0.05,868
-9.94,-9.97,0.03,971
-10.08,0.03,10.05,1065
10.01,-10.10,9.97,1519
0.25,-20.06,-0.05,870
-10.05,-9.96,0.08,972
-0.01,10.02,-0.03,864
-10.08,-0.07,-0.01,869
0.03,15.05,10.01,2168
-15.12,4.98,-0.04,870
9.97,-10.03,9.98,1524
0.07,9.90,10.00,968
-4.93,0.21,5.00,1517
-0.07,-14.94,4.98,1624
9.99,-9.99,-0.02,869
-0.01,0.03,0.01,970
-0.04,20.06,0.01,970
0.31,-0.06,15.06,855
9.98,9.93,0.05,971
-10.08,-0.09,10.05,1065
-9.96,-10.04,5.02,1519
9.95,10.10,4.98,1532
-9.99,9.97,5.01,1529
0.03,-0.02,10.01,958
10.02,-0.05,9.98,1060
-9.94,-9.97,-0.01,870
0.01,-10.02,4.98,1068
9.99,-10.04,4.98,1527
-10.00,-0.01,5.03,1071
10.01,9.93,-0.02,870
0.08,10.03,4.99,1065
9.95,10.02,0.01,970
9.94,0.03,-0.01,867
-10.03,0.01,0.00,1070
9.97,0.01,9.94,965
0.13,15.03,15.05,867
-9.98,-10.01,5.01,1527
9.93,-9.95,14.98,963
10.00,9.97,-0.01,869
0.02,-10.02,-0.02,854
-9.98,-5.09,0.03,972
0.02,-10.01,9.98,1065
4.93,5.02,9.94,1526
0.01,-9.91,0.04,972
-9.98,0.01,5.04,1526
-10.02,9.96,5.02,1531
-10.00,-4.97,0.01,971
-0.09,4.98,0.03,971
-15.06,14.97,0.04,871
0.00,-14.99,-0.01,871
-0.01,5.11,-0.01,870
-15.02,-0.05,15.08,867
9.94,10.02,-0.00,861
15.02,4.96,-0.02,867
9.96,0.02,-0.04,867
-0.00,-10.02,5.00,1068
10.03,9.99,4.96,1519
0.00,0.03,0.01,970
10.03,9.99,4.96,1525
-9.97,-10.03,-0.00,871
10.06,-10.03,9.97,1528
10.08,-10.08,0.01,963
10.05,0.08,5.04,1062
-9.97,-10.01,-0.01,870
-10.00,-0.03,15.01,867
-0.01,10.05,-0.01,860
-0.02,0.06,0.01,969
9.98,0.01,-0.04,868
10.00,0.04,4.98,1062
0.07,-10.08,14.99,1062
0.05,10.02,5.02,1064
-10.05,-0.02,0.02,1066
0.04,0.03,4.96,964
10.02,-10.01,4.98,1526
19.99,-0.03,0.02,1067
10.01,9.94,9.93,1521
-0.03,-10.04,15.04,868
10.00,-0.02,9.98,1069
0.00,-10.08,10.00,1067
9.99,0.05,10.00,967
5.08,-4.83,0.02,969
-9.92,0.02,9.97,967
10.02,-10.08,9.97,1518
4.87,10.08,-0.06,870
-9.97,9.95,4.99,1520
15.10,-0.03,0.01,1061
9.97,-0.04,0.00,970
10.04,4.98,-0.04,869
10.05,-10.02,-0.02,866
-0.03,-10.01,4.99,1072
10.01,9.92,-0.02,868
10.00,0.00,9.98,1061
-9.99,-0.03,5.02,1519
10.04,9.99,-0.01,868
-10.04,9.96,10.04,1521
20.35,0.32,-0.03,868
10.04,-10.05,5.01,1518
9.82,-10.00,15.06,866
0.03,-4.98,0.01,970
-9.97,9.96,4.99,1525
-9.94,-4.96,0.04,971
-19.88,0.18,0.02,1070
0.03,-10.01,9.99,1066
9.99,10.00,0.01,962
0.04,-10.03,9.98,1062
-0.02,10.03,-0.03,869
9.93,9.98,0.01,971
9.99,9.99,5.00,1520
10.03,-0.05,5.00,1065
0.02,0.03,-0.02,868
10.05,-9.98,-0.00,869
0.04,9.91,15.06,867
5.00,4.96,9.91,1520
10.01,-9.98,0.02,970
-0.08,-14.93,4.98,1617
0.03,9.91,15.07,867
9.94,10.02,-0.00,868
-0.02,-15.05,14.94,1613
10.06,-9.99,-0.00,868
9.99,9.99,5.00,1519
10.01,-0.02,5.00,1064
10.00,9.95,0.03,970
9.99,0.03,4.96,1517
-5.05,0.13,4.97,1527
-9.98,-10.03,5.02,1528
-9.97,-10.06,10.02,1519
-9.99,9.58,0.03,972
-10.06,10.01,0.01,972
10.00,-9.99,5.03,1518
10.02,-10.03,9.98,1524
-9.99,-0.04,5.03,1527
15.09,0.05,10.03,2164
9.95,-10.05,15.02,867
0.03,10.01,5.00,1066
-10.01,10.00,0.02,972
-5.08,-4.90,-0.02,863
0.05,-4.94,4.98,1524
-10.00,9.96,5.00,1520
10.00,0.01,9.98,1060
10.01,9.93,9.94,1517
10.12,-9.98,0.01,971
-4.96,0.17,4.99,1524
-5.01,-9.90,0.05,969
-0.09,5.08,0.01,967
-0.04,9.99,4.95,1519
9.97,10.02,-0.00,868
-10.02,-10.11,15.03,867
0.00,0.01,0.01,967
-10.03,9.97,10.04,1518
9.99,0.05,4.98,1518
